Team Jango,Team Jango Points,Team Jon,Team Jon Points,Team Tattoo,Team Tattoo Points,Team Chungus,Team Chungus Points,Team Mo,Team Mo Points,Team Jane,Team Jane Points,Team Kalag,Team Kalag Points,Team Zest,Team Zest Points,Team Daav,Team Daav Points
Jango,3,JonReremy,3,Tattoo,0,Chungus,0,Mo,1,Jane,1,Kalaghino,1,Zest,3,Daav,0
Bean,1,Yutaah,0,Fawn,1,Jhoni,0,Tristan,0,Deke,1,KenDan,3,Kalipr,3,Zenith,3
Skanderberg,3,Bubs,0,Kenny,3,Crxzy,3,Farts,0,Jrash,0,Steefee,1,Samurai,1,DC Racer,1
Strawberry,3,Nick CPA,3,Fallen,0,Tazaky,0,Ranger Robert,1,Luh,3,Nah Id Drift,1,Thiasma,1,Cassiopea,0
Speedkami,1,D1ZZY,3,Kux,0,FBR,0,Fletch,0,Jxn,1,Colrr,1,Yogurt,3,Velox,3
2bskii,1,Nic,3,Enkobo,0,Zuhayer,1,Zaorn,3,Snpnirav,3,Sly,1,Mr Wood,0,Sokpupt,0
Swagzilla,3,Safalada,0,Jackson,3,Partly_Sunny,1,Bangstarserve,0,Bobierto,3,AhsokaBee,1,Paradox,0,Barebuha,1
