Team Jango,Team Jango Points,Team Jon,Team Jon Points,Team Tattoo,Team Tattoo Points,Team Chungus,Team Chungus Points,Team Mo,Team Mo Points,Team Jane,Team Jane Points,Team Kalag,Team Kalag Points,Team Zest,Team Zest Points,Team Daav,Team Daav Points
Jango,1,JonReremy,1,Tattoo,1,Chungus,0,Mo,3,Jane,3,Kalaginho,0,Zest,3,Daav,0
Bean,1,Yutaah,1,Fawn,0,Jhoni,0,Tristan,1,Deke,3,KenDan,3,Kalipr,3,Zenith,0
Skanderberg,3,Bubs,0,Kenny,0,Crxzy,3,Farts,3,Jrash,0,Steefee,1,Samurai,3,DC Racer,1
Strawberry,1,Nick CPA,0,Fallen,0,Tazaky,1,Ranger Robert,1,Luh,3,Nah Id Drift,3,Thiasma,3,Cassiopea,0
Speedkami,1,D1ZZY,0,Kux,3,FBR,1,Fletch,1,Jxn,0,Colrr,0,Yogurt,3,Velox,3
2bskii,0,Nic,3,Enkobo,0,Zuhayer,0,Zaorn,3,Snpnirav,3,Sly,1,Mr Wood,1,Sokpupt,1
Swagzilla,3,Safalada,0,Jackson,1,Partly_Sunny,3,Bangstarserve,0,Bobierto,0,AhsokaBee,3,Paradox,1,Barebuha,1
