Team Jango,Team Jango Points,Team Jon,Team Jon Points,Team Tattoo,Team Tattoo Points,Team Chungus,Team Chungus Points,Team Mo,Team Mo Points,Team Jane,Team Jane Points,Team Kalag,Team Kalag Points,Team Zest,Team Zest Points,Team Daav,Team Daav Points
Jango,0,JonReremy,3,Tattoo,3,Chungus,0,Mo,1,Jane,0,Kalag,1,Zest,3,Daav,1
Bean,0,Yutaaah,1,Fawn,0,Jhoni,1,Tristan,3,Deke,0,KenDan,3,Kalipr,1,Zenith,3
Skanderberg,1,Bubs,0,Kenny,0,Crxzy,1,Farts,3,Jrash,1,Steefee,3,Samurai,0,DC Racer,3
Strawberry,3,Nick CPA,0,Fallen,1,Tazaky,0,Ranger Robert,3,Luh,3,Nah Id Drift,1,Thiasma,1,Cassiopea,0
Speedkami,0,D1ZZY,3,Kux,3,FBR,0,Fletch,1,Jxn,1,Colrr,0,Yogurt,1,Velox,3
2bskii,3,Nic,0,Enkobo,0,Zuhayer,1,Zaorn,3,Snpnirav,1,Sly,3,Mr Wood,0,Sokpupt,1
Swagzilla,3,Safalada,0,Jackson,3,Partly_Sunny,1,Bangstarserve,0,Bobierto,1,AhsokaBee,3,Paradox,1,Barebuha,0
