Team Jango,Team Jango Points,Team Jon,Team Jon Points,Team Tattoo,Team Tattoo Points,Team Chungus,Team Chungus Points,Team Mo,Team Mo Points,Team Jane,Team Jane Points,Team Kalag,Team Kalag Points,Team Zest,Team Zest Points,Team Daav,Team Daav Points
Jango,1,JonReremy,3,Tattoo,0,Chungus,0,Mo,3,Jane,0,Kalag,1,Zest,3,Daav,1
Bean,1,Yutaah,1,Fawn,0,Jhoni,0,Tristan,1,Deke,0,KenDan,3,Kalipr,3,Zenith,3
Skanderberg,1,Bubs,0,Kenny,0,Crxzy,3,Farts,3,Jrash,3,Steefee,1,Samurai,0,DC Racer,1
Strawberry,1,Nick CPA,0,Fallen,1,Tazaky,1,Ranger Robert,0,Luh,0,Nah Id Drift,3,Thiasma,3,Cassiopea,3
Speedkami,1,D1ZZY,1,Kux,3,FBR,0,Fletch,1,Jxn,0,Colrr,0,Yogurt,3,Velox,3
2bskii,1,Nic,3,Enkobo,0,Zuhayer,0,Zaorn,3,Snpnirav,3,Sly,1,Mr Wood,0,Sokpupt,1
Swagzilla,3,Safalada,0,Jackson,3,Partly_Sunny,1,Bangstarserve,0,Bobierto,0,AhsokaBee,1,Paradox,1,Barebuha,3
