Team Jango,Team Jango Points,Team Jon,Team Jon Points,Team Tattoo,Team Tattoo Points,Team Chungus,Team Chungus Points,Team Mo,Team Mo Points,Team Jane,Team Jane Points,Team Kalag,Team Kalag Points,Team Zest,Team Zest Points,Team Daav,Team Daav Points
Jango,1,JonReremy,3,Tattoo,0,Chungus,3,Mo,0,Jane,1,Kalaghino,0,Zest,3,Daav,1
Bean,0,Yutaah,3,Fawn,1,Jhoni,3,Tristan,0,Deke,1,Kendan,1,Kalipr,3,Zenith,0
Skanderberg,1,Bubs,0,Kenny,3,Crxzy,3,Farts,1,Jrash,0,Steefee,0,Samurai,1,Dc Racer,3
Strawberry,3,Nick CPA,0,Fallen,1,Tazaky,1,Ranger Robert,0,Luh,3,Nah Id Drift,0,Thiasma,3,Cassiopea,1
Speedkami,1,D1ZZY,3,Kux,0,FBR,0,Fletch,3,Jxn,1,Colrr,0,Yogurt,1,Velox,3
2bskii,1,Nic,3,Enkobo,0,Zuhayer,0,Zaorn,1,Snpnirav,3,Sly,3,Mr Wood,0,Sokpupt,1
Swagzilla,3,Safalada,0,Jackson,1,Partly_Sunny,3,Bangstarserve,0,Bobierto,1,AhsokaBee,0,Paradox,1,Barebuha,3
