Timestamp,What name do you go by in the discord?,What is your discord @? (ex: @masterdaav),What is the Highest league you have reached?,Bracket,Ace,Agent,Apex,Atomic,Bandit,Bison,Centaur,Chinese Van,Comet,Conqueror,Coupe,Cyber,Electron,Elixeer,Duster,Expedition,Fang,Firearrow,Fortress,Flower,Fury,Ghost,Glamour,Hammer,Hopper,Hornet,Horizon,Kaiju,Kobra,Koi,Krystal Ship,Leap,Mamba,Mantis,Maverick,Memphis,Merlin,Millenium,Minni,Monster Car,Neon,Nightown,Polluter,Predator,Project,Roamer,Rodeo,Ronin,Safari,Satin,Taxi,Thor,Timber,Time Machine,Tofu,Tow Truck,Wild West,Wingman,Protos,Quantum,Jackpot,Startup,Scorpion,Samurai,Spectre
8/27/2025 18:09:17,Yutaaah,@yutaaah._,35,2,SS,SSS,S,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SS,S,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,S,S,Don't have/cannot upgrade,SSS,SSS,S
09/01/2025 18:00,Fawn,@peeyew master 69,35,2,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS
09/02/2025 07:23,KenDan,@ken_dan,35,2,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SS,SSS,SSS,SS,SS,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,SSS,SS,SSS,SS,SS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade
8/28/2025 17:59:23,Bean,@.beansprout,35,2,S,S,S,SS,SS,S,S,SSS,S,SSS,SSS,S,S,SSS,S,S,SSS,SSS,SS,S,SS,SS,SSS,S,S,SSS,S,S,SSS,SS,SSS,SSS,S,SSS,SSS,SSS,Don't have/cannot upgrade,SS,SSS,SS,SS,SS,Don't have/cannot upgrade,SSS,S,S,SS,SSS,SS,SSS,SS,SSS,SSS,SSS,SS,SS,SSS,SSS,S,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,S
8/27/2025 18:24:39,Kalipr,@cloudsfallfromthesky ,35,2,Don't have/cannot upgrade,SS,SS,SS,SSS,SS,S,SS,S,SS,SS,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SS,SS,SS,SSS,SSS,S,SSS,SSS,S,SSS,SSS,SS,SS,SS,SS,SS,SS,Don't have/cannot upgrade,SS,Don't have/cannot upgrade,SS,SS,SS,S,SS,SSS,SS,SSS,Don't have/cannot upgrade,SS,SS,SS,SS,SS,SS,SSS,SS,SSS,SS,SS,SS,SS,Don't have/cannot upgrade,SS,Don't have/cannot upgrade,S,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade
09/01/2025 14:07,Deke,@itsdeke,35,2,Don't have/cannot upgrade,SS,Don't have/cannot upgrade,SS,SS,SS,SSS,SS,S,SSS,SSS,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SS,SS,S,SSS,SS,Don't have/cannot upgrade,SS,S,SS,S,Don't have/cannot upgrade,S,SS,SS,SSS,SS,Don't have/cannot upgrade,SS,S,S,S,SSS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,Don't have/cannot upgrade,SS,SSS,SS,SS,SSS,SSS,Don't have/cannot upgrade,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,Don't have/cannot upgrade
8/27/2025 19:08:25,Tristan,@tristan_m432,35,2,Don't have/cannot upgrade,S,Don't have/cannot upgrade,S,SSS,S,SS,SSS,SS,SSS,S,S,S,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,SS,SS,S,S,S,S,S,S,S,S,S,S,SS,S,SS,S,S,Don't have/cannot upgrade,SS,Don't have/cannot upgrade,S,S,SS,SSS,S,S,S,SSS,Don't have/cannot upgrade,A,S,S,S,S,S,SSS,S,SS,S,S,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade
8/27/2025 18:27:37,Jhoni,@jhonii,35,2,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,SSS,SS,SSS,SSS,SS,SS,SS,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,SSS,SSS,Don't have/cannot upgrade,SS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SS,SSS,SS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,Don't have/cannot upgrade,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade,SSS,SS,SS,SS,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,Don't have/cannot upgrade,SSS,Don't have/cannot upgrade
8/28/2025 1:49:44,Skanderberg,@arsenius7109,35,3,SS,SSS,SS,SSS,SSS,SSS,Don't have/cannot upgrade,SS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,Don't have/cannot upgrade,S,Don't have/cannot upgrade,SS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SS,SS,S,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SS,Don't have/cannot upgrade,SS,S,S,Don't have/cannot upgrade,SS
09/01/2025 01:27,Bubs,@bwills.530,35,3,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,Don't have/cannot upgrade,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,S,SSS,S,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS,SSS
